2025-11-17 23:49:41,582 | INFO     | auto_trader.wechat_ocr_listener | Captured address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 at 2025-11-17T15:49:41.533941+00:00 but suppressed trade
2025-11-17 23:49:42,661 | INFO     | auto_trader.wechat_ocr_listener | OCR scan detected 1 candidate(s); latest=0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444
2025-11-17 23:49:42,671 | INFO     | auto_trader.storage.address_repo | Updated timestamp for address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 (old=2025-11-17T15:49:41.533941+00:00 new=2025-11-17T15:49:42.661219+00:00)
2025-11-17 23:49:42,671 | INFO     | auto_trader.wechat_ocr_listener | Captured address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 at 2025-11-17T15:49:42.661219+00:00 but suppressed trade
2025-11-17 23:49:44,553 | INFO     | auto_trader.wechat_ocr_listener | OCR scan detected 1 candidate(s); latest=0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444
2025-11-17 23:49:44,580 | INFO     | auto_trader.storage.address_repo | Updated timestamp for address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 (old=2025-11-17T15:49:42.661219+00:00 new=2025-11-17T15:49:44.553880+00:00)
2025-11-17 23:49:44,580 | INFO     | auto_trader.wechat_ocr_listener | Captured address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 at 2025-11-17T15:49:44.553880+00:00 but suppressed trade
2025-11-17 23:49:45,798 | INFO     | auto_trader.wechat_ocr_listener | OCR scan detected 1 candidate(s); latest=0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444
2025-11-17 23:49:45,809 | INFO     | auto_trader.storage.address_repo | Updated timestamp for address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 (old=2025-11-17T15:49:44.553880+00:00 new=2025-11-17T15:49:45.798167+00:00)
2025-11-17 23:49:45,809 | INFO     | auto_trader.wechat_ocr_listener | Captured address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 at 2025-11-17T15:49:45.798167+00:00 but suppressed trade
2025-11-17 23:49:48,935 | INFO     | auto_trader.wechat_ocr_listener | OCR scan detected 1 candidate(s); latest=0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444
2025-11-17 23:49:48,950 | INFO     | auto_trader.storage.address_repo | Updated timestamp for address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 (old=2025-11-17T15:49:45.798167+00:00 new=2025-11-17T15:49:48.935075+00:00)
2025-11-17 23:49:48,950 | INFO     | auto_trader.wechat_ocr_listener | Captured address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 at 2025-11-17T15:49:48.935075+00:00 but suppressed trade
2025-11-17 23:49:51,302 | INFO     | auto_trader.wechat_ocr_listener | OCR scan detected 1 candidate(s); latest=0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444
2025-11-17 23:49:51,316 | INFO     | auto_trader.storage.address_repo | Updated timestamp for address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 (old=2025-11-17T15:49:48.935075+00:00 new=2025-11-17T15:49:51.301871+00:00)
2025-11-17 23:49:51,316 | INFO     | auto_trader.wechat_ocr_listener | Captured address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 at 2025-11-17T15:49:51.301871+00:00 but suppressed trade
2025-11-17 23:49:52,228 | INFO     | auto_trader.wechat_ocr_listener | OCR scan detected 1 candidate(s); latest=0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444
2025-11-17 23:49:52,237 | INFO     | auto_trader.storage.address_repo | Updated timestamp for address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 (old=2025-11-17T15:49:51.301871+00:00 new=2025-11-17T15:49:52.228143+00:00)
